Food_Item,Category,Calories,Protein,Carbs,Fat,Vegetarian,Vegan,Dosha_Vata,Dosha_Pitta,Dosha_Kapha,Food_Group,Fat_Adjusted
Smoked Pork with Bamboo Shoot (steamed),International,203,20.9,3.0,6.9,No,No,neutral,neutral,neutral,Beverages,0.0
Orange (mild),Bengali,72,1.0,20.3,0.6,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Rajma (thin),Ladakh,166,1.8,14.3,2.4,Yes,No,neutral,neutral,neutral,Others,
Kanika (with vegetables) - 1437,Northeast,104,4.6,35.9,1.6,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Rasam (with jaggery (small)) - 1438,Gujarati,173,1.6,43.5,3.2,Yes,No,neutral,increases,neutral,Others,
Grapes (black) (with jaggery (small)),North Indian,103,0.5,22.5,0.0,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Grapes (black) (plain) - 1440,Assamese,112,2.4,7.4,0.0,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Plain Pasta (olive oil light) (sprouted) - 1441,International,102,4.5,22.3,3.4,Yes,No,decreases,neutral,neutral,Others,
Oats Porridge (thin) (mild) - 1442,Odia,86,2.6,17.6,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Khandvi (with vegetables) - 1443,International,113,5.3,24.2,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Apricot (mild) - 1444,International,64,0.1,10.1,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Buttermilk (light) (mild) - 1445,Bengali,193,6.2,32.9,0.4,Yes,No,decreases,decreases,increases,Dairy Products,3.5
Paturi (mild) - 1446,International,82,6.7,18.8,0.4,Yes,No,neutral,neutral,neutral,Others,
Sprouted Moong (boiled),South Indian,121,4.2,22.4,1.1,Yes,Yes,decreases,decreases,neutral,Others,
Khicede (plain) - 1448,Karnataka,148,3.2,19.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Papaya (sprouted) - 1449,Assamese,20,1.1,17.9,1.9,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Shorshe Ilish (lightly spiced) - 1450,Kerala,149,0.2,22.3,5.8,Yes,No,neutral,increases,neutral,Others,
Mysore Masala Dosa (with vegetables) - 1451,Kerala,95,5.1,49.3,0.6,Yes,No,decreases,neutral,neutral,Grains,6.0
Samosa (with vegetables) - 1452,Generic,79,2.4,23.5,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Besan Masala Roti (fermented (mild)),Assamese,80,0.2,48.6,0.3,Yes,No,neutral,decreases,neutral,Grains,1.5
Duck Curry (plain),Punjabi,145,0.2,15.7,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Pappu Charu (boiled) - 1455,International,131,3.2,30.2,4.7,Yes,No,decreases,decreases,neutral,Others,
Bhutte Ka Kees (plain) - 1456,Tamil Nadu,107,1.8,33.1,2.6,Yes,No,neutral,neutral,neutral,Others,
Eromba (plain) - 1457,Jammu & Kashmir,69,1.0,33.4,3.6,Yes,No,decreases,decreases,neutral,Others,
Undhiyu (sprouted) - 1458,Ladakh,133,1.8,21.0,0.8,Yes,No,neutral,neutral,neutral,Others,
Grapes (black) (with vegetables) - 1459,Punjabi,53,3.0,22.3,1.9,Yes,Yes,decreases,decreases,neutral,Vegetables,0.5
Sambar (with vegetables) - 1460,Madhya Pradesh,90,4.7,36.9,3.1,Yes,No,neutral,increases,neutral,Legumes/Pulses,1.0
Apple (thin),Chhattisgarh,134,0.5,14.2,1.1,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Handvo (plain) - 1462,International,117,4.3,8.8,7.6,Yes,No,decreases,neutral,neutral,Others,
Jalebi (with jaggery (small)),Generic,164,3.3,44.3,5.7,Yes,No,neutral,neutral,neutral,Sweets/Desserts,10.0
Ragi Roti (steamed),Lakshadweep,84,3.9,25.9,1.5,Yes,No,neutral,neutral,neutral,Grains,1.5
Tandoori Chicken (thin),Andhra/Telangana,157,18.7,1.6,0.5,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Basmati Rice (with jaggery (small)),Maharashtrian,188,2.2,30.8,0.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Buttermilk (light) (with jaggery (small)),International,249,5.5,26.3,0.5,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Mangalore Buns (lightly spiced),Tamil Nadu,110,1.0,47.1,3.7,Yes,No,neutral,increases,neutral,Others,
Khicede (plain) - 1469,International,141,1.3,51.7,1.5,Yes,No,decreases,neutral,neutral,Others,
Goan Sausage Pulao (boiled),Jammu & Kashmir,127,3.4,26.3,0.0,Yes,No,decreases,neutral,neutral,Others,
Dragonfruit (lightly spiced),Kerala,148,0.1,35.9,0.2,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Dosa (mild),Madhya Pradesh,119,2.3,34.3,0.2,Yes,No,decreases,decreases,neutral,Grains,6.0
Shorshe Ilish (fermented (mild)) - 1473,Maharashtrian,36,4.0,20.9,2.4,Yes,No,neutral,neutral,neutral,Others,
Kanji (rice porridge) (with vegetables) - 1474,Karnataka,166,3.0,32.5,0.5,Yes,No,decreases,neutral,neutral,Grains,0.5
Momo (plain) - 1475,Punjabi,96,2.6,26.2,0.9,Yes,No,neutral,neutral,neutral,Others,
Pitha (thin),Ladakh,162,5.0,28.9,1.2,Yes,No,neutral,neutral,neutral,Others,
Poha (with vegetables),Tamil Nadu,138,4.3,22.6,0.8,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Pappu Charu (lightly spiced) - 1478,Andhra/Telangana,122,2.4,25.8,0.0,Yes,No,neutral,increases,neutral,Others,
Chettinad Chicken Curry (sprouted),International,226,13.8,2.2,5.9,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Dhokla (plain),Punjabi,120,7.9,7.8,0.0,Yes,No,decreases,neutral,neutral,Others,
Bobbatlu (mild) - 1481,International,73,3.0,34.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Curd (fresh) (boiled),International,111,1.6,30.7,4.2,Yes,No,decreases,decreases,increases,Dairy Products,4.0
Khopra Pak (sprouted),International,121,3.3,23.9,2.8,Yes,No,neutral,neutral,neutral,Others,
Toor Dal (light) (plain) - 1484,Gujarati,142,7.6,18.3,1.3,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Bhakri (mild),Karnataka,111,6.6,7.3,3.0,Yes,No,neutral,neutral,neutral,Others,
Pongal (plain) (with vegetables) - 1486,Tamil Nadu,99,6.2,28.7,1.4,Yes,No,decreases,decreases,neutral,Vegetables,0.5
Churma (with vegetables),International,227,1.6,23.2,4.8,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Sannas (with jaggery (small)) - 1488,Jammu & Kashmir,229,1.2,48.2,1.4,Yes,No,neutral,neutral,neutral,Others,
Steamed Vegetables (steamed),Andhra/Telangana,130,6.3,32.0,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Mulberry (boiled),Northeast,153,1.3,15.9,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Rajma Chawal (sprouted) - 1491,Tamil Nadu,101,5.0,27.7,1.5,Yes,No,neutral,neutral,neutral,Others,
Jowar Roti (with jaggery (small)),Madhya Pradesh,158,4.5,19.7,5.2,Yes,No,neutral,neutral,neutral,Grains,1.5
Sarson da Saag with Makki di Roti (mild) - 1493,Maharashtrian,152,0.3,33.6,0.3,Yes,No,neutral,neutral,neutral,Grains,1.5
Luchi (sprouted),Odia,156,5.4,26.5,4.1,Yes,No,neutral,neutral,neutral,Others,
Cow Milk (warm) (steamed),Ladakh,264,10.0,14.8,8.2,Yes,No,neutral,decreases,increases,Dairy Products,3.5
Buttermilk (light) (with jaggery (small)) - 1496,South Indian,290,8.5,37.5,2.0,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Puttu (steamed),Ladakh,100,4.0,42.3,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Kinema (plain),Ladakh,121,0.2,53.2,1.8,Yes,No,decreases,neutral,neutral,Others,
Puran Poli (thin),Andhra/Telangana,76,3.7,22.8,0.7,Yes,No,neutral,neutral,increases,Others,
Mulberry (plain) - 1500,Maharashtrian,135,1.0,17.4,0.5,Yes,Yes,decreases,decreases,neutral,Others,
Pappu Charu (fermented (mild)),Punjabi,37,0.2,21.3,2.7,Yes,No,neutral,neutral,neutral,Others,
Bebinca (with vegetables) - 1502,International,120,6.7,28.4,0.0,Yes,No,neutral,neutral,increases,Vegetables,0.5
Pomegranate (thin),Chhattisgarh,89,3.1,17.2,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Paturi (sprouted),Lakshadweep,141,5.8,23.2,0.0,Yes,No,neutral,neutral,neutral,Others,
Jolada Rotti (steamed),North Indian,108,6.2,14.4,0.0,Yes,No,decreases,neutral,neutral,Beverages,0.0
Papaya (plain) - 1506,International,106,2.3,4.0,1.4,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Masor Tenga (sprouted) - 1507,International,115,5.6,18.4,0.0,Yes,No,decreases,increases,neutral,Others,
Ulava Charu (mild),International,162,4.2,25.9,4.8,Yes,No,decreases,neutral,neutral,Others,
Poached Chicken (mild) - 1509,South Indian,227,25.9,7.1,6.8,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Litchi (with jaggery (small)) - 1510,Jammu & Kashmir,92,0.9,26.7,1.2,Yes,Yes,decreases,neutral,neutral,Others,
Ladakhi Butter Tea (mild) - 1511,Kerala,164,2.7,35.2,1.5,Yes,No,decreases,decreases,increases,Dairy Products,81.0
Galouti Kebab (steamed),Andhra/Telangana,124,2.0,18.6,5.4,Yes,No,decreases,decreases,neutral,Beverages,0.0
Avocado (with vegetables) - 1513,International,103,2.2,15.8,0.7,Yes,Yes,decreases,neutral,increases,Vegetables,0.5
Dabeli (thin),Goan,72,0.2,48.4,1.7,Yes,No,neutral,neutral,neutral,Others,
Tofu (light) (sprouted),Kerala,164,5.7,48.5,0.0,Yes,Yes,neutral,neutral,neutral,Others,
Jadoh (with jaggery (small)),International,107,0.2,45.5,2.9,Yes,No,neutral,neutral,neutral,Others,
Galouti Kebab (lightly spiced),Gujarati,112,0.2,8.4,0.0,Yes,No,neutral,increases,neutral,Others,
Bedmi Puri with Aloo Sabzi (steamed),International,162,3.5,24.2,1.8,Yes,No,neutral,neutral,neutral,Beverages,0.0
Duck Curry (plain) - 1519,Northeast,105,0.2,22.5,0.0,Yes,No,neutral,decreases,neutral,Vegetables,0.5
Puttu (sprouted),Chhattisgarh,167,3.5,5.9,3.0,Yes,No,neutral,neutral,neutral,Others,
Ghee (small serving) (fermented (mild)),International,348,9.0,4.2,9.0,Yes,No,decreases,decreases,increases,Dairy Products,81.0
Pongal (plain) - 1522,Maharashtrian,157,4.8,31.5,0.3,Yes,No,decreases,decreases,neutral,Others,
Banana (mild) - 1523,Andhra/Telangana,56,0.5,15.7,0.9,Yes,Yes,decreases,decreases,increases,Fruits,0.3
Farsan (boiled) - 1524,Generic,132,4.1,26.3,0.0,Yes,No,neutral,neutral,neutral,Others,
Sadya (mixed) (sprouted),Lakshadweep,107,5.4,11.5,0.6,Yes,No,neutral,neutral,neutral,Others,
Dum Aloo (with jaggery (small)),International,183,0.4,20.1,0.5,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Pakhala Bhata (sprouted),Lakshadweep,30,6.1,21.7,4.9,Yes,No,decreases,neutral,neutral,Others,
Grapes (green) (boiled) - 1528,South Indian,120,0.1,13.1,0.0,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Fish Fry (with vegetables),International,347,21.1,5.1,4.8,No,No,neutral,increases,neutral,Non-Veg Protein,6.0
Vada Pav (boiled) - 1530,Generic,87,6.2,10.5,2.7,Yes,No,neutral,neutral,neutral,Others,
Poita Bhat (boiled),Goan,74,2.9,32.2,1.1,Yes,No,decreases,decreases,neutral,Others,
Besan Masala Roti (mild),Chhattisgarh,111,2.6,21.1,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Chapati (thin),International,117,3.6,52.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Sannas (with vegetables) - 1534,Generic,30,3.9,36.2,1.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Vada (plain) - 1535,International,174,2.2,48.8,4.0,Yes,No,neutral,neutral,neutral,Others,
Khaja (with jaggery (small)),Kerala,142,4.5,13.5,3.3,Yes,No,neutral,neutral,neutral,Others,
Modak (mild) - 1537,International,60,5.0,19.4,0.5,Yes,No,decreases,decreases,increases,Others,
Kehwa (lightly spiced),Tamil Nadu,119,7.7,19.8,0.0,Yes,No,neutral,increases,neutral,Others,
Grapes (black) (thin) - 1539,Chhattisgarh,66,2.7,26.2,1.7,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Dates (thin) - 1540,South Indian,61,1.5,8.6,1.9,Yes,Yes,decreases,decreases,neutral,Others,
Vada Pav (with vegetables) - 1541,Karnataka,30,2.8,45.1,1.4,Yes,No,increases,neutral,neutral,Vegetables,0.5
Balushahi (plain) - 1542,Goan,200,3.7,22.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Misal Pav (lightly spiced) - 1543,Karnataka,83,5.2,27.7,1.2,Yes,No,neutral,increases,neutral,Others,
Aloo Paratha (mild) - 1544,North Indian,71,3.9,30.0,0.0,Yes,No,decreases,neutral,neutral,Grains,8.0
Cow Milk (warm) (mild) - 1545,Rajasthani,306,9.2,18.7,6.7,Yes,No,neutral,decreases,increases,Dairy Products,3.5
Mirchi Bajji (lightly spiced) - 1546,Lakshadweep,30,5.7,3.0,2.5,Yes,No,neutral,increases,neutral,Others,
Brown Rice (boiled),International,137,3.3,43.1,0.3,Yes,No,decreases,decreases,neutral,Grains,0.5
Thalipeeth (plain) - 1548,Chhattisgarh,264,0.9,32.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Masoor Dal (light) (boiled),Goan,111,8.8,29.2,2.0,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Bobbatlu (mild) - 1550,Lakshadweep,150,7.1,35.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Kadala Curry (with jaggery (small)),Kerala,187,5.1,17.2,0.0,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Kiwi (with vegetables),Bengali,55,1.1,24.4,1.2,Yes,Yes,decreases,neutral,neutral,Vegetables,0.5
Fig (plain) - 1553,Assamese,39,0.1,16.2,0.2,Yes,Yes,decreases,decreases,neutral,Others,
Rasam (fermented (mild)) - 1554,International,71,3.0,10.7,3.5,Yes,No,neutral,increases,neutral,Others,
Cow Milk (warm) (with vegetables),Punjabi,143,3.2,16.7,8.8,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Churma (fermented (mild)),Punjabi,149,2.9,10.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Poita Bhat (plain),North Indian,76,0.8,44.4,0.1,Yes,No,neutral,neutral,neutral,Others,
Amritsari Kulcha (boiled),International,76,4.7,51.3,1.2,Yes,No,neutral,decreases,neutral,Others,
Kinema (mild),Chhattisgarh,173,0.2,29.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Muskmelon (with jaggery (small)),Rajasthani,102,1.8,24.7,1.3,Yes,Yes,decreases,neutral,neutral,Others,
Pongal (plain) (steamed),Tamil Nadu,83,5.0,32.4,1.2,Yes,No,decreases,decreases,neutral,Beverages,0.0
Mohan Maas (mild) - 1562,Jammu & Kashmir,71,0.9,45.0,1.9,Yes,No,decreases,neutral,neutral,Others,
Coconut Pudding (with vegetables) - 1563,Ladakh,149,1.5,23.7,0.9,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Millet Roti (with jaggery (small)),Northeast,128,0.2,49.2,2.5,Yes,No,neutral,neutral,neutral,Grains,1.5
Mirchi Bajji (plain),International,79,0.2,21.6,0.2,Yes,No,neutral,decreases,neutral,Others,
Khaja (plain) - 1566,Generic,47,4.6,21.4,0.8,Yes,No,decreases,neutral,neutral,Others,
Paratha (mixed) (with vegetables),Rajasthani,174,3.3,29.5,1.4,Yes,No,neutral,neutral,neutral,Grains,8.0
Goan Sausage Pulao (thin) - 1568,Maharashtrian,64,5.0,29.0,1.5,Yes,No,neutral,neutral,neutral,Others,
Luchi (steamed),Odia,161,7.4,24.3,2.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Akki Rotti (steamed),Northeast,88,3.2,34.1,0.0,Yes,No,decreases,neutral,neutral,Grains,2.0
Momo (mild) - 1571,Karnataka,202,0.2,11.5,3.5,Yes,No,neutral,neutral,neutral,Others,
Berry Mix (lightly spiced),Andhra/Telangana,106,0.1,5.7,0.5,Yes,Yes,decreases,neutral,neutral,Others,
Brown Rice (boiled) - 1573,International,118,4.7,42.2,0.2,Yes,No,decreases,decreases,neutral,Grains,0.5
Chhena Jhili (thin) - 1574,Rajasthani,139,3.7,6.1,2.1,Yes,No,neutral,neutral,neutral,Others,
Idli (thin),Ladakh,181,2.8,25.3,1.4,Yes,No,decreases,neutral,neutral,Grains,0.5
Hyderabadi Biryani (with vegetables),Rajasthani,145,5.9,23.7,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Bhakri (steamed),Northeast,203,3.4,6.1,0.2,Yes,No,decreases,neutral,neutral,Beverages,0.0
Litchi (thin),Punjabi,109,0.3,22.2,0.3,Yes,Yes,decreases,neutral,neutral,Others,
Paratha (mixed) (plain) - 1579,Kerala,120,4.9,11.8,4.4,Yes,No,decreases,neutral,neutral,Grains,8.0
Mishti Doi (sprouted) - 1580,International,91,10.1,12.7,0.3,Yes,No,decreases,neutral,neutral,Others,
Pesarattu (thin),Ladakh,91,4.3,29.0,1.4,Yes,No,neutral,neutral,neutral,Others,
Miso Soup (sprouted) - 1582,Punjabi,97,7.7,3.0,0.5,Yes,No,neutral,neutral,neutral,Others,
Poita Bhat (fermented (mild)) - 1583,International,93,6.5,40.0,2.5,Yes,No,neutral,neutral,neutral,Others,
Thekua (plain) - 1584,International,169,3.7,38.9,0.8,Yes,No,decreases,neutral,neutral,Others,
Bedmi Puri with Aloo Sabzi (sprouted),Chhattisgarh,96,4.9,23.7,3.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Mulberry (sprouted),International,84,1.7,16.1,0.6,Yes,Yes,decreases,neutral,neutral,Others,
Paratha (mixed) (plain) - 1587,Generic,130,0.6,24.4,0.0,Yes,No,neutral,neutral,neutral,Grains,8.0
Curd (fresh) (boiled) - 1588,International,125,0.3,29.6,0.0,Yes,No,neutral,decreases,increases,Dairy Products,4.0
Sol Kadhi (steamed) - 1589,Lakshadweep,97,2.2,17.1,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Curd (fresh) (plain) - 1590,Tamil Nadu,138,4.9,31.5,2.2,Yes,No,decreases,decreases,increases,Dairy Products,4.0
Miso Soup (thin),Assamese,143,2.7,58.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Vada (with vegetables),International,90,6.4,32.2,1.1,Yes,No,increases,neutral,neutral,Vegetables,0.5
Toor Dal (light) (mild),International,139,5.7,31.3,0.0,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Steamed Dumplings (plain) (mild) - 1594,Chhattisgarh,178,3.2,26.8,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Dosa (mild) - 1595,Kerala,125,5.4,31.7,0.9,Yes,No,decreases,decreases,neutral,Grains,6.0
Mirchi Bajji (fermented (mild)) - 1596,Karnataka,129,0.3,19.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Jalebi (fermented (mild)),Northeast,141,0.8,32.5,1.2,Yes,No,neutral,neutral,neutral,Sweets/Desserts,10.0
Dal Pitha (sprouted),International,114,8.1,21.7,1.5,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Bhutte Ka Kees (with vegetables) - 1599,Tamil Nadu,89,1.7,8.0,0.5,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Greek Salad (light) (fermented (mild)) - 1600,International,122,4.2,28.5,0.0,Yes,No,decreases,neutral,neutral,Vegetables,0.5
Undhiyu (plain) - 1601,Maharashtrian,148,2.6,14.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Coconut Water (thin),Madhya Pradesh,107,1.7,29.7,3.0,Yes,No,neutral,neutral,neutral,Others,
Bedmi Puri with Aloo Sabzi (with vegetables) - 1603,South Indian,173,7.6,23.5,0.0,Yes,No,increases,neutral,neutral,Vegetables,0.5
Sattu Paratha (fermented (mild)),North Indian,114,1.2,41.7,1.1,Yes,No,decreases,neutral,neutral,Grains,8.0
Mishti Doi (plain) - 1605,Punjabi,133,1.6,37.4,2.4,Yes,No,decreases,neutral,neutral,Others,
Watermelon (plain) - 1606,Assamese,80,0.5,25.4,0.8,Yes,Yes,decreases,decreases,neutral,Others,
Bobbatlu (plain),Northeast,185,3.0,46.6,1.5,Yes,No,neutral,neutral,neutral,Others,
Plum (mild),Lakshadweep,20,1.2,30.7,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Tungrymbai (lightly spiced),Assamese,75,2.8,25.5,0.0,Yes,No,neutral,increases,neutral,Others,
Jalebi (with vegetables),International,111,1.7,16.7,3.8,Yes,No,neutral,neutral,neutral,Sweets/Desserts,10.0
Makhan Bada (boiled),Maharashtrian,147,5.4,45.4,0.0,Yes,No,neutral,neutral,neutral,Others,
Tofu (light) (plain),Karnataka,88,3.5,3.0,0.0,Yes,Yes,neutral,neutral,neutral,Others,
Jalebi (lightly spiced),South Indian,69,0.2,3.0,2.8,Yes,No,neutral,increases,neutral,Sweets/Desserts,10.0
Chiroti (steamed),Lakshadweep,163,3.4,32.7,2.4,Yes,No,neutral,decreases,neutral,Grains,1.5
Ghee (small serving) (sprouted) - 1615,Gujarati,186,3.9,15.1,12.8,Yes,No,neutral,decreases,increases,Dairy Products,81.0
Gya Thuk (with jaggery (small)),Karnataka,276,1.1,42.6,1.8,Yes,No,neutral,neutral,neutral,Others,
Mulberry (lightly spiced),Karnataka,97,1.2,25.5,0.0,Yes,Yes,decreases,neutral,neutral,Others,
Plain Dosa (plain) - 1618,Karnataka,149,2.4,23.8,0.0,Yes,No,decreases,decreases,neutral,Grains,6.0
Coconut Chutney (thin) - 1619,Karnataka,169,2.4,32.5,2.1,Yes,No,neutral,increases,neutral,Condiments,2.0
Upma (plain) (with vegetables) - 1620,North Indian,55,2.6,23.5,0.0,Yes,No,decreases,decreases,neutral,Grains,0.5
Avocado (with jaggery (small)) - 1621,Rajasthani,156,1.2,36.9,1.3,Yes,Yes,decreases,neutral,increases,Others,
Handvo (plain) - 1622,South Indian,86,2.3,12.3,0.0,Yes,No,decreases,neutral,neutral,Others,
Misal Pav (with vegetables) - 1623,International,167,1.0,23.0,4.9,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Quinoa Salad (plain) - 1624,Andhra/Telangana,121,5.8,42.0,0.0,Yes,No,decreases,decreases,neutral,Vegetables,0.5
Brown Rice (mild) - 1625,International,152,4.1,42.5,0.0,Yes,No,decreases,decreases,neutral,Grains,0.5
Rogan Josh (boiled) - 1626,Chhattisgarh,162,1.9,41.9,0.0,Yes,No,decreases,neutral,neutral,Others,
Prawn Balchão (mild) - 1627,South Indian,118,12.0,6.4,11.7,No,No,neutral,neutral,neutral,Others,
Pav Bhaji (boiled),Odia,203,0.2,44.7,2.4,Yes,No,neutral,decreases,neutral,Others,
Sabudana Khichdi (with jaggery (small)),Chhattisgarh,179,4.7,22.3,1.9,Yes,No,decreases,decreases,neutral,Others,
Axone (fermented soybean) (mild) - 1630,North Indian,150,4.2,3.5,0.0,Yes,Yes,neutral,decreases,neutral,Legumes/Pulses,1.0
Santula (steamed) - 1631,Andhra/Telangana,133,5.6,8.0,1.4,Yes,No,decreases,decreases,neutral,Beverages,0.0
Bhuna Maas (fermented (mild)) - 1632,Bengali,65,3.7,8.5,0.0,Yes,No,neutral,neutral,neutral,Others,
Pulihora (mild) - 1633,Chhattisgarh,125,3.1,40.2,0.9,Yes,No,neutral,decreases,neutral,Others,
Jowar Roti (with jaggery (small)) - 1634,International,64,2.6,14.7,0.0,Yes,No,neutral,neutral,neutral,Grains,1.5
Avial (thin),International,110,4.4,16.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Watermelon (plain) - 1636,North Indian,64,0.1,5.8,0.7,Yes,Yes,decreases,decreases,neutral,Others,
Oats Porridge (thin) (mild) - 1637,Gujarati,110,2.0,16.7,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Khicede (plain) - 1638,International,130,6.8,23.5,2.2,Yes,No,neutral,neutral,neutral,Others,
Pumaloi (lightly spiced),International,113,2.8,28.1,0.8,Yes,No,neutral,increases,neutral,Others,
Blueberry (plain) - 1640,Maharashtrian,69,2.3,3.0,0.1,Yes,Yes,decreases,decreases,neutral,Others,
Muskmelon (mild),Chhattisgarh,108,1.2,17.5,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Appam with Stew (with vegetables),International,109,7.5,24.1,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Plain Rice (fermented (mild)),Kerala,142,4.5,28.7,0.7,Yes,No,decreases,decreases,neutral,Grains,0.5
Vada (plain) - 1644,Assamese,166,2.2,20.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Dum Aloo (lightly spiced) - 1645,Lakshadweep,99,3.0,9.6,1.1,Yes,No,neutral,increases,neutral,Vegetables,0.5
Appam with Stew (fermented (mild)),Assamese,158,2.7,16.1,0.0,Yes,No,decreases,neutral,neutral,Others,
Momos (fermented (mild)) - 1647,International,165,0.2,26.0,0.0,Yes,No,neutral,decreases,neutral,Others,
Steamed Idli (plain) - 1648,Ladakh,91,1.2,19.3,0.2,Yes,No,decreases,decreases,neutral,Grains,0.5
Fresh Fruit Salad (seasonal) (mild),Gujarati,163,3.7,18.7,2.1,Yes,No,decreases,neutral,neutral,Vegetables,0.5
Jackfruit (thin) - 1650,International,77,1.5,7.8,0.5,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Aloo Pitika (mild),Gujarati,92,2.8,24.8,6.6,Yes,No,decreases,decreases,neutral,Vegetables,0.5
Bagara Baingan (with jaggery (small)),Maharashtrian,157,3.0,27.3,2.1,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Kanji (rice porridge) (sprouted),International,120,5.5,32.3,0.0,Yes,No,decreases,neutral,neutral,Grains,0.5
Gustaba (with jaggery (small)) - 1654,Tamil Nadu,186,4.7,38.8,0.2,Yes,No,neutral,neutral,neutral,Others,
Brown Rice (plain),International,153,3.3,32.1,0.5,Yes,No,decreases,decreases,neutral,Grains,0.5
Quinoa Salad (steamed) - 1656,Gujarati,106,0.5,51.0,0.9,Yes,No,decreases,neutral,neutral,Beverages,0.0
Basundi (with vegetables) - 1657,International,221,6.6,9.0,3.1,Yes,No,neutral,neutral,increases,Vegetables,0.5
Kodi Kura (lightly spiced) - 1658,South Indian,153,8.3,10.0,4.8,Yes,No,neutral,increases,neutral,Others,
Makhan Bada (plain) - 1659,Maharashtrian,138,3.2,40.0,0.0,Yes,No,decreases,neutral,neutral,Others,
Coorg Pandi Curry (steamed) - 1660,Lakshadweep,76,0.9,21.4,0.0,Yes,No,neutral,decreases,neutral,Beverages,0.0
Pakhala Bhata (plain) - 1661,International,99,2.0,10.0,1.2,Yes,No,decreases,neutral,neutral,Others,
Ghee (small serving) (thin) - 1662,Rajasthani,154,2.0,13.4,6.8,Yes,No,neutral,neutral,increases,Dairy Products,81.0
Bebinca (boiled),International,30,6.5,44.2,0.0,Yes,No,decreases,neutral,increases,Others,
Jadoh (boiled),Generic,131,0.4,13.3,0.5,Yes,No,decreases,neutral,neutral,Others,
Paneer (light) (sprouted),Punjabi,188,7.9,16.6,4.5,Yes,No,neutral,neutral,increases,Dairy Products,20.0
Pomegranate (with jaggery (small)),International,99,0.7,16.5,0.4,Yes,Yes,neutral,neutral,neutral,Others,
